TurnType,RoadType,EnvType,VisibilityConditions,PedestrianLevel,TrafficLevel,DayNight,WeatherConditions,Speed_limit,New_Speed_Limit
Straight,Narrow,Residential,High,Low,Low,Day,Fogg,10,33.86
Straight,Medium,City,High,Low,Low,Day,Clear,10,16.02
Gentle turn,,Highway,Low,Moderate,Low,Night,Clear,10,50.16
Intersection,Medium,Highway,High,Low,Moderate,Day,Clear,20,26.94
Gentle turn,Medium,Residential,High,Moderate,Moderate,Day,Clear,20,29.25
Intersection,Medium,Residential,High,Low,Low,Day,Clear,20,34.85
Gentle turn,Medium,Residential,High,Low,Moderate,Day,Clear,20,26.28
Gentle turn,Medium,Highway,High,Low,Moderate,Night,Clear,20,41.91
Intersection,Medium,Residential,High,Low,Low,Day,Clear,20,34.85
Gentle turn,Medium,Highway,High,Low,Moderate,Day,Clear,20,24.39
Gentle turn,Medium,Residential,High,Low,Moderate,Day,Clear,20,26.28
Sharp turn,Wide,Highway,High,Low,Moderate,Day,,20,39.29
Gentle turn,Medium,Residential,Low,Low,Moderate,Day,Rain,20,71.02
Gentle turn,Medium,Highway,High,Moderate,Moderate,Day,Clear,20,27.15
Gentle turn,Medium,City,High,Low,Low,Day,Clear,20,35.28
Straight,Medium,Residential,High,Low,Low,Night,Clear,20,49.22
Sharp turn,Medium,Residential,High,Low,Moderate,Night,Clear,20,49.88
Gentle turn,Medium,Residential,High,Low,High,Day,Clear,20,36.42
Gentle turn,Medium,Residential,High,Low,Moderate,Day,Clear,20,26.28
Straight,Medium,Residential,High,Low,Moderate,Night,Clear,20,40.99
Straight,Medium,Residential,High,Low,Low,Night,Clear,20,49.22
Gentle turn,Medium,Residential,High,Low,Low,Day,Clear,20,31.56
Straight,Narrow,Residential,High,Low,Moderate,Day,Clear,20,35.51
Gentle turn,Medium,Residential,High,Moderate,Moderate,Day,Clear,20,29.25
Sharp turn,Medium,City,Low,Low,Moderate,Night,Rain,20,150.74
Gentle turn,Medium,Highway,High,Low,Moderate,Day,Clear,20,24.39
Gentle turn,Medium,Residential,High,Low,Moderate,Day,Clear,20,26.28
Gentle turn,Medium,Residential,High,Low,Moderate,Night,Clear,20,45.15
Straight,Medium,Residential,Low,Low,Low,Night,Clear,20,87.7
Intersection,Medium,Residential,High,Low,Moderate,Day,Rain,20,44.02
Straight,Medium,Highway,High,Low,Moderate,Day,Clear,20,22.15
Gentle turn,Medium,Highway,Low,Low,Low,Day,Clear,20,52.19
Straight,Medium,Highway,High,Low,Low,Day,Clear,20,26.6
Gentle turn,Medium,Residential,High,Low,Moderate,Day,Clear,20,26.28
Gentle turn,Medium,Highway,High,Low,Moderate,Day,unknown,20,26.15
Straight,Medium,Residential,High,Low,Moderate,Day,Clear,20,23.85
Straight,Medium,City,Low,High,Moderate,Night,Clear,20,103.21
Straight,Medium,Highway,High,Low,Low,Day,Clear,20,26.6
