Frame,Lowest Safe Speed,Vehicles Safe Speeds
0,Not Detected,
1,Not Detected,
2,Not Detected,
3,Not Detected,
4,Not Detected,
5,Not Detected,
6,Not Detected,
7,Not Detected,
8,Not Detected,
9,Not Detected,
10,Not Detected,
11,Not Detected,
12,Not Detected,
13,Not Detected,
14,Not Detected,
15,Not Detected,
16,Not Detected,
17,Not Detected,
18,Not Detected,
19,Not Detected,
20,Not Detected,
21,Not Detected,
22,Not Detected,
23,Not Detected,
24,Not Detected,
25,Not Detected,
26,Not Detected,
27,Not Detected,
28,Not Detected,
29,Not Detected,
30,Not Detected,
31,Not Detected,
32,Not Detected,
33,Not Detected,
34,Not Detected,
35,Not Detected,
36,Not Detected,
37,Not Detected,
38,Not Detected,
39,Not Detected,
40,Not Detected,
41,Not Detected,
42,Not Detected,
43,Not Detected,
44,Not Detected,
45,Not Detected,
46,Not Detected,
47,Not Detected,
48,Not Detected,
49,Not Detected,
50,Not Detected,
51,Not Detected,
52,Not Detected,
53,Not Detected,
54,Not Detected,
55,Not Detected,
56,Not Detected,
57,Not Detected,
58,Not Detected,
59,Not Detected,
60,Not Detected,
61,51.11687607367307,Track 5: 51.12 km/h
62,53.21361302185601,Track 5: 53.21 km/h
63,53.93666512878641,Track 5: 53.94 km/h
64,54.35575925744323,Track 5: 54.36 km/h
65,52.994357264292475,Track 5: 52.99 km/h
66,53.76641618859886,Track 5: 53.77 km/h
67,54.79172652781109,Track 5: 54.79 km/h
68,55.53386833479694,Track 5: 55.53 km/h
69,56.06353155405481,Track 5: 56.06 km/h
70,54.66466916288344,Track 5: 54.66 km/h
71,54.30903272160396,Track 5: 54.31 km/h
72,55.8516030213869,Track 5: 55.85 km/h
73,54.842543856929346,Track 5: 54.84 km/h
74,56.74842902475225,Track 5: 56.75 km/h
75,57.445210946972665,Track 5: 57.45 km/h
76,58.64902143125451,Track 5: 58.65 km/h
77,56.49792394554202,Track 5: 56.50 km/h
78,55.75432602592797,Track 5: 55.75 km/h
79,55.658355299527464,Track 5: 55.66 km/h
80,Not Detected,
81,Not Detected,
82,Not Detected,
83,Not Detected,
84,Not Detected,
85,Not Detected,
86,Not Detected,
87,Not Detected,
88,Not Detected,
89,Not Detected,
