Frame,Lowest Safe Speed,Vehicles Safe Speeds
0,Not Detected,
1,Not Detected,
2,Not Detected,
3,Not Detected,
4,Not Detected,
5,Not Detected,
6,Not Detected,
7,Not Detected,
8,Not Detected,
9,Not Detected,
10,47.162505487178315,Track 1: 47.16 km/h
11,Not Detected,
12,Not Detected,
13,Not Detected,
14,Not Detected,
15,Not Detected,
16,Not Detected,
17,Not Detected,
18,Not Detected,
19,Not Detected,
20,Not Detected,
21,Not Detected,
22,Not Detected,
23,inf,Track 2: inf km/h
24,inf,Track 2: inf km/h
25,inf,Track 2: inf km/h
26,inf,Track 2: inf km/h
27,inf,Track 2: inf km/h
28,inf,Track 2: inf km/h
29,inf,Track 2: inf km/h
30,inf,Track 2: inf km/h
31,inf,Track 2: inf km/h
32,inf,Track 2: inf km/h
33,Not Detected,
34,inf,Track 2: inf km/h
35,inf,Track 2: inf km/h
36,Not Detected,
37,Not Detected,
38,Not Detected,
39,Not Detected,
40,Not Detected,
41,Not Detected,
42,Not Detected,
43,Not Detected,
44,inf,Track 3: inf km/h
45,inf,Track 3: inf km/h
46,Not Detected,
47,Not Detected,
48,inf,Track 4: inf km/h
49,Not Detected,
50,Not Detected,
51,Not Detected,
52,Not Detected,
53,Not Detected,
54,Not Detected,
55,Not Detected,
56,Not Detected,
57,Not Detected,
58,Not Detected,
59,Not Detected,
60,Not Detected,
61,Not Detected,
62,Not Detected,
63,Not Detected,
64,Not Detected,
65,Not Detected,
66,Not Detected,
67,Not Detected,
68,Not Detected,
69,Not Detected,
70,Not Detected,
71,Not Detected,
72,Not Detected,
73,Not Detected,
74,Not Detected,
75,Not Detected,
76,Not Detected,
77,Not Detected,
78,Not Detected,
79,Not Detected,
80,Not Detected,
81,Not Detected,
82,Not Detected,
83,Not Detected,
84,Not Detected,
85,Not Detected,
86,Not Detected,
87,Not Detected,
88,Not Detected,
89,Not Detected,
90,Not Detected,
91,Not Detected,
92,Not Detected,
93,Not Detected,
94,Not Detected,
95,Not Detected,
96,Not Detected,
97,Not Detected,
98,Not Detected,
99,Not Detected,
100,Not Detected,
101,Not Detected,
102,Not Detected,
103,Not Detected,
104,Not Detected,
105,Not Detected,
106,Not Detected,
107,Not Detected,
108,Not Detected,
109,Not Detected,
110,Not Detected,
111,Not Detected,
112,Not Detected,
113,Not Detected,
114,Not Detected,
115,Not Detected,
116,Not Detected,
117,Not Detected,
118,Not Detected,
119,Not Detected,
120,Not Detected,
121,Not Detected,
122,Not Detected,
123,Not Detected,
124,Not Detected,
125,Not Detected,
126,Not Detected,
127,Not Detected,
128,79.03852112903951,Track 24: 79.04 km/h
129,79.95935026819878,Track 24: 79.96 km/h
130,80.5842430596217,Track 24: 80.58 km/h
131,79.80167794435387,Track 24: 79.80 km/h
132,78.61615439237227,Track 24: 78.62 km/h
133,77.51745947486604,Track 24: 77.52 km/h
134,73.6342472174548,Track 24: 73.63 km/h
135,75.47532269515315,Track 24: 75.48 km/h
136,75.2191964828876,Track 24: 75.22 km/h
137,73.91912159979945,Track 24: 73.92 km/h
138,Not Detected,
139,Not Detected,
140,Not Detected,
141,Not Detected,
142,Not Detected,
143,Not Detected,
144,Not Detected,
145,59.02392601965272,Track 26: 59.02 km/h
146,57.87365793867815,Track 26: 57.87 km/h
147,56.60562388379301,Track 26: 56.61 km/h
148,Not Detected,
149,Not Detected,
