turn_type,road_type,environment_type,visibility,effective_pedestrians,effective_traffic,daynight,weather,SafeSpeedLimit
Straight,Narrow,City,High,Low,Low,Day,Clear,47.67999999999998
Straight,Narrow,City,High,Low,Low,Day,Clear,47.67999999999998
Straight,Narrow,City,High,Low,Low,Day,Clear,47.67999999999998
Straight,Narrow,City,High,Low,Low,Day,Clear,47.67999999999998
Straight,Narrow,City,High,Low,Low,Day,Clear,47.67999999999998
Straight,Narrow,City,High,Low,Low,Day,Clear,47.67999999999998
Straight,Narrow,City,High,Low,Moderate,Day,Clear,42.18469832810862
Straight,Narrow,City,High,Low,Low,Day,Clear,47.67999999999998
Straight,Narrow,City,High,Low,Low,Day,Clear,47.67999999999998
Straight,Narrow,City,High,Low,Low,Day,Clear,47.67999999999998
Straight,Narrow,City,High,Low,Low,Day,Clear,47.67999999999998
Straight,Narrow,City,High,Low,Moderate,Day,Clear,42.18469832810862
Straight,Narrow,City,High,Low,Moderate,Day,Clear,42.18469832810862
Straight,Narrow,City,High,Low,Moderate,Day,Clear,42.18469832810862
Straight,Narrow,City,High,Low,Moderate,Day,Clear,42.18469832810862
Straight,Narrow,City,High,Low,Moderate,Day,Clear,42.18469832810862
Straight,Narrow,City,High,Low,Low,Day,Clear,47.67999999999998
Straight,Narrow,City,High,Low,Low,Day,Clear,47.67999999999998
Straight,Narrow,City,High,Low,Low,Day,Clear,47.67999999999998
Straight,Narrow,City,High,Low,Moderate,Day,Clear,42.18469832810862
Straight,Narrow,City,High,Low,Moderate,Day,Clear,42.18469832810862
Straight,Narrow,City,High,Low,Moderate,Day,Clear,42.18469832810862
Straight,Narrow,City,High,Low,Moderate,Day,Clear,42.18469832810862
Straight,Narrow,City,High,Low,Moderate,Day,Clear,42.18469832810862
Straight,Narrow,City,High,Low,Moderate,Day,Clear,42.18469832810862
Straight,Narrow,City,High,Low,Moderate,Day,Clear,42.18469832810862
Straight,Narrow,City,High,Low,Low,Day,Clear,47.67999999999998
Straight,Narrow,City,High,Low,Low,Day,Clear,47.67999999999998
Straight,Narrow,City,High,Low,Low,Day,Clear,47.67999999999998
Straight,Narrow,Residential,High,Low,Low,Day,Clear,47.892433194937794
Straight,Narrow,City,High,Low,Low,Day,Clear,47.67999999999998
Straight,Medium,City,High,Low,Low,Day,Clear,46.38381753191453
Straight,Medium,City,High,Low,Moderate,Day,Clear,46.86944289372842
Straight,Medium,City,High,Low,Moderate,Day,Clear,46.86944289372842
Straight,Medium,City,High,Low,Low,Day,Clear,46.38381753191453
Straight,Medium,City,High,Low,Low,Day,Clear,46.38381753191453
Straight,Medium,City,High,Low,Moderate,Day,Clear,46.86944289372842
Straight,Medium,City,High,Low,Moderate,Day,Clear,46.86944289372842
Gentle turn,Medium,City,High,Low,Moderate,Day,Clear,46.65994844949376
Gentle turn,Medium,City,High,Low,Moderate,Day,Clear,46.65994844949376
Gentle turn,Medium,City,High,Low,Moderate,Day,Clear,46.65994844949376
Gentle turn,Medium,City,High,Low,Moderate,Day,Clear,46.65994844949376
Gentle turn,Medium,City,High,Low,Moderate,Day,Clear,46.65994844949376
Gentle turn,Medium,City,High,Low,Moderate,Day,Clear,46.65994844949376
Gentle turn,Medium,City,High,Low,Moderate,Day,Clear,46.65994844949376
Gentle turn,Medium,City,High,Low,Moderate,Day,Clear,46.65994844949376
Gentle turn,Medium,City,High,Low,Moderate,Day,Clear,46.65994844949376
Gentle turn,Medium,City,High,Low,Moderate,Day,Clear,46.65994844949376
Gentle turn,Medium,City,High,Low,Moderate,Day,Clear,46.65994844949376
Gentle turn,Medium,City,High,Low,Moderate,Day,Clear,46.65994844949376
Gentle turn,Medium,City,High,Low,Moderate,Day,Clear,46.65994844949376
Gentle turn,Medium,City,High,Low,Moderate,Day,Clear,46.65994844949376
Gentle turn,Medium,City,High,Low,Moderate,Day,Clear,46.65994844949376
Gentle turn,Medium,City,High,Low,Moderate,Day,Clear,46.65994844949376
Gentle turn,Medium,City,High,Low,Moderate,Day,Clear,46.65994844949376
Gentle turn,Medium,City,High,Low,Moderate,Day,Clear,46.65994844949376
Gentle turn,Medium,City,High,Low,Moderate,Day,Clear,46.65994844949376
Gentle turn,Medium,City,High,Low,Moderate,Day,Clear,46.65994844949376
Gentle turn,Medium,City,High,Low,Moderate,Day,Clear,46.65994844949376
Gentle turn,Medium,City,High,Low,Moderate,Day,Clear,46.65994844949376
Gentle turn,Medium,City,High,Low,Moderate,Day,Clear,46.65994844949376
Gentle turn,Medium,City,High,Low,Moderate,Day,Clear,46.65994844949376
Gentle turn,Medium,City,High,Low,Moderate,Day,Clear,46.65994844949376
Gentle turn,Medium,City,High,Low,Moderate,Day,Clear,46.65994844949376
Gentle turn,Medium,City,High,Low,Moderate,Day,Clear,46.65994844949376
Gentle turn,Medium,City,High,Low,Moderate,Day,Clear,46.65994844949376
Gentle turn,Medium,City,High,Low,Moderate,Day,Clear,46.65994844949376
Gentle turn,Medium,City,High,Low,Moderate,Day,Clear,46.65994844949376
Gentle turn,Medium,City,High,Low,Moderate,Day,Clear,46.65994844949376
Gentle turn,Medium,City,High,Low,Moderate,Day,Clear,46.65994844949376
Straight,Medium,City,High,Low,Moderate,Day,Clear,46.86944289372842
Gentle turn,Medium,City,High,Low,Moderate,Day,Clear,46.65994844949376
Gentle turn,Medium,City,High,Low,Moderate,Day,Clear,46.65994844949376
Straight,Medium,City,High,Low,Moderate,Day,Clear,46.86944289372842
Gentle turn,Medium,City,High,Low,Moderate,Day,Clear,46.65994844949376
Gentle turn,Medium,City,High,Low,Moderate,Day,Clear,46.65994844949376
Gentle turn,Medium,City,High,Low,Moderate,Day,Clear,46.65994844949376
Gentle turn,Medium,City,High,Low,Moderate,Day,Clear,46.65994844949376
Gentle turn,Medium,City,High,Low,Low,Day,Clear,53.24440673603414
Gentle turn,Medium,City,High,Low,Low,Day,Clear,53.24440673603414
Gentle turn,Medium,City,High,Low,Low,Day,Clear,53.24440673603414
Gentle turn,Medium,City,High,Low,Moderate,Day,Clear,46.65994844949376
Gentle turn,Medium,City,High,Low,Low,Day,Clear,53.24440673603414
Gentle turn,Medium,City,High,Low,Moderate,Day,Clear,46.65994844949376
Gentle turn,Medium,City,High,Low,Moderate,Day,Clear,46.65994844949376
Gentle turn,Medium,City,High,Low,Moderate,Day,Clear,46.65994844949376
Gentle turn,Medium,City,High,Low,Moderate,Day,Clear,46.65994844949376
Gentle turn,Medium,City,High,Low,Moderate,Day,Clear,46.65994844949376
Gentle turn,Medium,City,High,Low,Moderate,Day,Clear,46.65994844949376
Gentle turn,Medium,Highway,High,Low,Moderate,Day,Clear,49.45867856773216
Gentle turn,Medium,City,High,Low,Moderate,Day,Clear,46.65994844949376
Gentle turn,Medium,City,High,Low,Moderate,Day,Clear,46.65994844949376
Gentle turn,Medium,City,High,Low,Moderate,Day,Clear,46.65994844949376
Gentle turn,Medium,City,High,Low,Moderate,Day,Clear,46.65994844949376
Gentle turn,Medium,City,High,Low,Moderate,Day,Clear,46.65994844949376
Gentle turn,Medium,City,High,Low,Moderate,Day,Clear,46.65994844949376
Gentle turn,Medium,City,High,Low,Moderate,Day,Clear,46.65994844949376
Gentle turn,Medium,City,High,Low,Moderate,Day,Clear,46.65994844949376
Gentle turn,Medium,City,High,Low,Moderate,Day,Clear,46.65994844949376
Gentle turn,Medium,City,High,Low,Moderate,Day,Clear,46.65994844949376
Gentle turn,Medium,City,High,Low,Moderate,Day,Clear,46.65994844949376
Gentle turn,Medium,City,High,Low,Moderate,Day,Clear,46.65994844949376
Gentle turn,Medium,City,High,Low,Moderate,Day,Clear,46.65994844949376
Gentle turn,Medium,City,High,Low,High,Day,Clear,66.62986444138369
Gentle turn,Medium,City,High,Low,High,Day,Clear,66.62986444138369
Gentle turn,Medium,City,High,Low,High,Day,Clear,66.62986444138369
Gentle turn,Medium,City,High,Low,High,Day,Clear,66.62986444138369
Gentle turn,Medium,City,High,Low,High,Day,Clear,66.62986444138369
Gentle turn,Medium,City,High,Low,High,Day,Clear,66.62986444138369
Straight,Medium,City,High,Low,High,Day,Clear,71.10671049731685
Gentle turn,Medium,City,High,Low,High,Day,Clear,66.62986444138369
Straight,Medium,City,High,Low,High,Day,Clear,71.10671049731685
Straight,Medium,City,High,Low,High,Day,Clear,71.10671049731685
Gentle turn,Medium,City,High,Low,High,Day,Clear,66.62986444138369
Gentle turn,Medium,City,High,Low,High,Day,Clear,66.62986444138369
Gentle turn,Medium,City,High,Low,High,Day,Clear,66.62986444138369
Gentle turn,Medium,City,High,Low,High,Day,Clear,66.62986444138369
Gentle turn,Medium,City,High,Low,High,Day,Clear,66.62986444138369
Gentle turn,Medium,City,High,Low,High,Day,Clear,66.62986444138369
Gentle turn,Medium,City,High,Low,High,Day,Clear,66.62986444138369
Straight,Medium,City,High,Low,High,Day,Clear,71.10671049731685
