Frame,Lowest Safe Speed,Vehicles Safe Speeds
0,Not Detected,
1,Not Detected,
2,Not Detected,
3,Not Detected,
4,Not Detected,
5,Not Detected,
6,Not Detected,
7,Not Detected,
8,Not Detected,
9,Not Detected,
10,Not Detected,
11,Not Detected,
12,Not Detected,
13,Not Detected,
14,Not Detected,
15,Not Detected,
16,Not Detected,
17,Not Detected,
18,Not Detected,
19,Not Detected,
20,Not Detected,
21,Not Detected,
22,Not Detected,
23,Not Detected,
24,Not Detected,
25,Not Detected,
26,Not Detected,
27,Not Detected,
28,Not Detected,
29,Not Detected,
30,Not Detected,
31,Not Detected,
32,Not Detected,
33,Not Detected,
34,Not Detected,
35,Not Detected,
36,Not Detected,
37,Not Detected,
38,Not Detected,
39,Not Detected,
40,Not Detected,
41,Not Detected,
42,Not Detected,
43,Not Detected,
44,Not Detected,
45,Not Detected,
46,Not Detected,
47,51.53858287634948,Track 5: 51.54 km/h
48,52.44516192906287,Track 5: 52.45 km/h
49,Not Detected,
50,52.507904329632545,Track 5: 52.51 km/h
51,Not Detected,
52,Not Detected,
53,Not Detected,
54,Not Detected,
55,Not Detected,
56,52.71998991299014,Track 5: 52.72 km/h
57,53.59600833434334,Track 5: 53.60 km/h
58,54.0923599799743,Track 5: 54.09 km/h
59,53.35383479199709,Track 5: 53.35 km/h
60,53.319429594338544,Track 5: 53.32 km/h
61,53.759936967540305,Track 5: 53.76 km/h
62,54.265775401101685,Track 5: 54.27 km/h
63,54.394535283886746,Track 5: 54.39 km/h
64,53.86385608806504,Track 7: inf km/h; Track 5: 53.86 km/h
65,54.622515318204634,Track 7: inf km/h; Track 5: 54.62 km/h
66,54.759028311691445,Track 7: inf km/h; Track 5: 54.76 km/h
67,inf,Track 7: inf km/h
68,inf,Track 7: inf km/h
69,inf,Track 7: inf km/h
70,inf,Track 7: inf km/h
71,inf,Track 7: inf km/h; Track 8: inf km/h
72,Not Detected,
73,Not Detected,
74,Not Detected,
75,52.84974130731389,Track 11: 52.85 km/h
76,51.35864888633352,Track 11: 51.36 km/h
77,52.87945418406555,Track 11: 52.88 km/h
78,Not Detected,
79,Not Detected,
80,Not Detected,
81,Not Detected,
82,Not Detected,
83,Not Detected,
84,Not Detected,
85,Not Detected,
86,Not Detected,
87,Not Detected,
88,Not Detected,
89,Not Detected,
90,Not Detected,
91,Not Detected,
92,Not Detected,
93,Not Detected,
94,Not Detected,
95,Not Detected,
96,Not Detected,
97,Not Detected,
98,Not Detected,
99,Not Detected,
100,Not Detected,
101,Not Detected,
102,Not Detected,
103,Not Detected,
104,Not Detected,
105,Not Detected,
106,Not Detected,
107,Not Detected,
108,Not Detected,
109,Not Detected,
110,Not Detected,
111,Not Detected,
112,50.753029514333555,Track 14: inf km/h; Track 15: 50.75 km/h
113,50.61219759997028,Track 14: inf km/h; Track 15: 50.61 km/h
114,49.80052261997515,Track 14: inf km/h; Track 15: 49.80 km/h
115,49.198833470355275,Track 14: inf km/h; Track 15: 49.20 km/h
116,48.507223457327086,Track 14: inf km/h; Track 15: 48.51 km/h
117,48.307976825778994,Track 14: inf km/h; Track 15: 48.31 km/h
118,47.472800600712404,Track 14: inf km/h; Track 15: 47.47 km/h
119,46.491282181153665,Track 15: 46.49 km/h
120,45.93004100795238,Track 15: 45.93 km/h; Track 14: inf km/h
121,44.82253066674274,Track 15: 44.82 km/h
122,44.3874297622473,Track 15: 44.39 km/h
123,56.871104133395924,Track 15: inf km/h; Track 26: 56.87 km/h
124,58.800083331613465,Track 15: inf km/h; Track 26: 58.80 km/h
125,inf,Track 15: inf km/h
126,inf,Track 15: inf km/h
127,inf,Track 15: inf km/h
128,inf,Track 15: inf km/h; Track 28: inf km/h
129,inf,Track 28: inf km/h
130,inf,Track 28: inf km/h
131,Not Detected,
132,inf,Track 28: inf km/h
133,Not Detected,
134,Not Detected,
135,Not Detected,
136,Not Detected,
137,Not Detected,
138,Not Detected,
139,Not Detected,
140,Not Detected,
141,Not Detected,
142,Not Detected,
143,Not Detected,
144,Not Detected,
145,Not Detected,
146,Not Detected,
147,Not Detected,
148,Not Detected,
149,Not Detected,
150,Not Detected,
151,Not Detected,
152,Not Detected,
153,Not Detected,
154,Not Detected,
155,Not Detected,
156,Not Detected,
157,Not Detected,
158,Not Detected,
159,Not Detected,
160,Not Detected,
161,Not Detected,
162,Not Detected,
163,Not Detected,
164,Not Detected,
165,Not Detected,
166,Not Detected,
167,Not Detected,
168,Not Detected,
169,Not Detected,
170,Not Detected,
171,Not Detected,
172,Not Detected,
173,Not Detected,
174,Not Detected,
175,Not Detected,
176,Not Detected,
177,Not Detected,
178,Not Detected,
179,Not Detected,
180,Not Detected,
181,Not Detected,
182,Not Detected,
183,Not Detected,
184,Not Detected,
185,Not Detected,
186,Not Detected,
187,Not Detected,
188,Not Detected,
189,47.311851258762324,Track 32: 47.31 km/h
190,46.939489622653085,Track 32: 46.94 km/h
191,46.63736483580655,Track 32: 46.64 km/h
192,46.73654474025452,Track 32: 46.74 km/h
193,46.40266392394171,Track 32: 46.40 km/h
194,45.96446171470581,Track 32: 45.96 km/h
195,45.53165188352151,Track 32: 45.53 km/h
196,45.08624352802915,Track 32: 45.09 km/h
197,44.479527445965594,Track 32: 44.48 km/h
198,inf,Track 32: inf km/h
199,inf,Track 32: inf km/h
200,inf,Track 32: inf km/h
201,inf,Track 32: inf km/h
202,inf,Track 32: inf km/h; Track 34: inf km/h
203,inf,Track 32: inf km/h; Track 34: inf km/h
204,inf,Track 34: inf km/h
205,inf,Track 34: inf km/h; Track 32: inf km/h
206,inf,Track 32: inf km/h
207,inf,Track 32: inf km/h
208,inf,Track 32: inf km/h
209,inf,Track 32: inf km/h
210,inf,Track 32: inf km/h
211,inf,Track 32: inf km/h
212,inf,Track 32: inf km/h; Track 34: inf km/h
213,inf,Track 32: inf km/h; Track 34: inf km/h
214,inf,Track 32: inf km/h; Track 34: inf km/h
215,inf,Track 32: inf km/h; Track 34: inf km/h
216,inf,Track 32: inf km/h; Track 34: inf km/h
217,inf,Track 32: inf km/h; Track 34: inf km/h
218,inf,Track 32: inf km/h; Track 34: inf km/h
219,inf,Track 32: inf km/h; Track 34: inf km/h
220,inf,Track 32: inf km/h; Track 34: inf km/h
221,inf,Track 32: inf km/h; Track 34: inf km/h
222,inf,Track 32: inf km/h
223,inf,Track 32: inf km/h
224,inf,Track 32: inf km/h
225,inf,Track 32: inf km/h
226,inf,Track 32: inf km/h
227,inf,Track 32: inf km/h
228,inf,Track 32: inf km/h
229,inf,Track 32: inf km/h
230,inf,Track 32: inf km/h
231,inf,Track 32: inf km/h
232,inf,Track 32: inf km/h
233,inf,Track 32: inf km/h
234,inf,Track 32: inf km/h
235,inf,Track 32: inf km/h
236,inf,Track 32: inf km/h
237,inf,Track 32: inf km/h
238,inf,Track 32: inf km/h
239,inf,Track 32: inf km/h
240,inf,Track 32: inf km/h
241,inf,Track 32: inf km/h
242,inf,Track 32: inf km/h
243,inf,Track 32: inf km/h
244,Not Detected,
245,Not Detected,
246,Not Detected,
247,Not Detected,
248,inf,Track 32: inf km/h
249,inf,Track 32: inf km/h
250,inf,Track 32: inf km/h
251,inf,Track 32: inf km/h
252,inf,Track 32: inf km/h
253,inf,Track 32: inf km/h
254,inf,Track 32: inf km/h
255,inf,Track 32: inf km/h
256,inf,Track 32: inf km/h
257,inf,Track 32: inf km/h
258,inf,Track 32: inf km/h
259,inf,Track 32: inf km/h
260,inf,Track 32: inf km/h
261,inf,Track 32: inf km/h
262,inf,Track 32: inf km/h
263,inf,Track 32: inf km/h
264,inf,Track 32: inf km/h
265,62.63776582087879,Track 32: inf km/h; Track 35: 62.64 km/h
266,63.797460159880686,Track 32: inf km/h; Track 35: 63.80 km/h
267,65.02607657521423,Track 32: inf km/h; Track 35: 65.03 km/h
268,63.869627189641164,Track 32: inf km/h; Track 35: 63.87 km/h
269,59.16102942261696,Track 32: inf km/h; Track 35: 59.16 km/h
270,58.511174563737185,Track 32: inf km/h; Track 35: 58.51 km/h
271,57.4208915732114,Track 32: inf km/h; Track 35: 57.42 km/h
272,59.17706522655653,Track 32: inf km/h; Track 35: 59.18 km/h
273,58.254045007755686,Track 32: inf km/h; Track 35: 58.25 km/h
274,59.34079746802047,Track 32: inf km/h; Track 35: 59.34 km/h
275,59.316215101972226,Track 32: inf km/h; Track 35: 59.32 km/h
276,58.30875515507406,Track 32: inf km/h; Track 35: 58.31 km/h
277,inf,Track 32: inf km/h
278,56.334573334960396,Track 32: inf km/h; Track 35: 56.33 km/h
279,56.7561019184763,Track 32: inf km/h; Track 35: 56.76 km/h
280,55.78694600644995,Track 32: inf km/h; Track 35: 55.79 km/h
281,54.78782485144966,Track 32: inf km/h; Track 35: 54.79 km/h
282,inf,Track 32: inf km/h
283,inf,Track 32: inf km/h
284,inf,Track 32: inf km/h
285,inf,Track 32: inf km/h
286,inf,Track 32: inf km/h
287,inf,Track 32: inf km/h
288,inf,Track 32: inf km/h
289,inf,Track 32: inf km/h
290,inf,Track 32: inf km/h
291,inf,Track 32: inf km/h
292,inf,Track 32: inf km/h
293,inf,Track 32: inf km/h
294,inf,Track 32: inf km/h
295,inf,Track 32: inf km/h
296,inf,Track 32: inf km/h
297,inf,Track 32: inf km/h
298,Not Detected,
299,Not Detected,
