Frame,Lowest Safe Speed,Vehicles Safe Speeds
0,Not Detected,
1,Not Detected,
2,Not Detected,
3,Not Detected,
4,Not Detected,
5,Not Detected,
6,Not Detected,
7,Not Detected,
8,Not Detected,
9,Not Detected,
10,Not Detected,
11,Not Detected,
12,Not Detected,
13,Not Detected,
14,63.60093003078846,Track 1: 63.60 km/h
15,65.29093812744998,Track 1: 65.29 km/h
16,63.8357146650437,Track 2: inf km/h; Track 1: 63.84 km/h
17,64.5405818010556,Track 2: inf km/h; Track 1: 64.54 km/h
18,64.83715975546932,Track 2: inf km/h; Track 1: 64.84 km/h
19,65.67911362676018,Track 2: inf km/h; Track 1: 65.68 km/h
20,65.72170118641131,Track 2: inf km/h; Track 1: 65.72 km/h
21,66.47821952997087,Track 2: inf km/h; Track 1: 66.48 km/h
22,66.27172414309467,Track 2: inf km/h; Track 1: 66.27 km/h
23,66.87724638458415,Track 2: inf km/h; Track 1: 66.88 km/h
24,67.3874765233682,Track 2: inf km/h; Track 1: 67.39 km/h
25,66.81561842289851,Track 2: inf km/h; Track 1: 66.82 km/h
26,67.43013767446182,Track 2: inf km/h; Track 1: 67.43 km/h
27,67.78265623541265,Track 2: inf km/h; Track 1: 67.78 km/h
28,67.20068991170683,Track 2: inf km/h; Track 1: 67.20 km/h
29,67.80091130817306,Track 2: inf km/h; Track 1: 67.80 km/h
30,68.17727119515116,Track 2: inf km/h; Track 1: 68.18 km/h
31,69.67894534796496,Track 2: inf km/h; Track 1: 69.68 km/h
32,70.04752164128247,Track 2: inf km/h; Track 1: 70.05 km/h
33,69.59096915750814,Track 2: inf km/h; Track 1: 69.59 km/h
34,69.74552026944993,Track 2: inf km/h; Track 1: 69.75 km/h
35,71.09602812284066,Track 2: inf km/h; Track 1: 71.10 km/h
36,71.65744990545731,Track 2: inf km/h; Track 1: 71.66 km/h
37,inf,Track 2: inf km/h
38,inf,Track 2: inf km/h
39,inf,Track 2: inf km/h
40,inf,Track 2: inf km/h
41,inf,Track 2: inf km/h
42,inf,Track 2: inf km/h
43,inf,Track 2: inf km/h
44,inf,Track 2: inf km/h
45,inf,Track 2: inf km/h
46,inf,Track 2: inf km/h
47,inf,Track 2: inf km/h
48,inf,Track 2: inf km/h
49,inf,Track 2: inf km/h
50,inf,Track 2: inf km/h
51,inf,Track 2: inf km/h
52,inf,Track 2: inf km/h
53,inf,Track 2: inf km/h
54,inf,Track 2: inf km/h
55,inf,Track 2: inf km/h
56,inf,Track 2: inf km/h
57,inf,Track 2: inf km/h
58,inf,Track 2: inf km/h
59,inf,Track 2: inf km/h
60,inf,Track 2: inf km/h
61,inf,Track 2: inf km/h
62,inf,Track 2: inf km/h
63,inf,Track 2: inf km/h
64,inf,Track 2: inf km/h
65,inf,Track 2: inf km/h
66,46.544011430043284,Track 2: inf km/h; Track 3: 46.54 km/h
67,45.50086325696367,Track 2: inf km/h; Track 3: 45.50 km/h
68,45.33324484723001,Track 2: inf km/h; Track 3: 45.33 km/h
69,45.98056248530289,Track 2: inf km/h; Track 3: 45.98 km/h
70,44.64596376021157,Track 2: inf km/h; Track 3: 44.65 km/h
71,inf,Track 2: inf km/h; Track 3: inf km/h
72,inf,Track 2: inf km/h; Track 3: inf km/h
73,inf,Track 2: inf km/h; Track 3: inf km/h
74,inf,Track 2: inf km/h; Track 3: inf km/h
75,inf,Track 2: inf km/h; Track 3: inf km/h
76,inf,Track 2: inf km/h
77,inf,Track 2: inf km/h
78,inf,Track 2: inf km/h
79,inf,Track 2: inf km/h
80,inf,Track 2: inf km/h
81,inf,Track 2: inf km/h
82,inf,Track 2: inf km/h
83,inf,Track 2: inf km/h
84,inf,Track 2: inf km/h
85,inf,Track 2: inf km/h
86,inf,Track 2: inf km/h
87,inf,Track 2: inf km/h
88,inf,Track 2: inf km/h
89,inf,Track 2: inf km/h
90,inf,Track 2: inf km/h
91,inf,Track 2: inf km/h
92,inf,Track 2: inf km/h
93,inf,Track 2: inf km/h
94,inf,Track 2: inf km/h
95,inf,Track 2: inf km/h
96,inf,Track 2: inf km/h
97,inf,Track 2: inf km/h
98,50.93532815059302,Track 2: inf km/h; Track 12: 50.94 km/h
99,50.50905668421166,Track 2: inf km/h; Track 12: 50.51 km/h
100,50.35008951006815,Track 2: inf km/h; Track 12: 50.35 km/h
101,51.10122881044545,Track 2: inf km/h; Track 12: 51.10 km/h
102,50.68578772346778,Track 2: inf km/h; Track 12: 50.69 km/h
103,50.71736495913838,Track 2: inf km/h; Track 12: 50.72 km/h
104,51.04350066326699,Track 2: inf km/h; Track 12: 51.04 km/h
105,51.4885489582696,Track 2: inf km/h; Track 12: 51.49 km/h
106,51.68290359890844,Track 2: inf km/h; Track 12: 51.68 km/h
107,52.25595293073526,Track 2: inf km/h; Track 12: 52.26 km/h
108,52.01073751069341,Track 2: inf km/h; Track 12: 52.01 km/h
109,51.452984906239585,Track 2: inf km/h; Track 12: 51.45 km/h
110,55.658168766931965,Track 2: inf km/h; Track 12: 55.66 km/h
111,56.349778106712904,Track 2: inf km/h; Track 12: 56.35 km/h
112,58.65633445152418,Track 2: inf km/h; Track 12: 58.66 km/h
113,60.67021453432174,Track 2: inf km/h; Track 12: 60.67 km/h
114,61.85225931541932,Track 2: inf km/h; Track 12: 61.85 km/h
115,60.14480779978798,Track 2: inf km/h; Track 12: 60.14 km/h
116,58.59065991851858,Track 2: inf km/h; Track 12: 58.59 km/h
117,60.129395142112074,Track 2: inf km/h; Track 12: 60.13 km/h
118,59.677134489345036,Track 2: inf km/h; Track 12: 59.68 km/h
119,58.784355106383856,Track 2: inf km/h; Track 12: 58.78 km/h
120,61.248675926377175,Track 2: inf km/h; Track 12: 61.25 km/h
121,59.64784718519291,Track 2: inf km/h; Track 12: 59.65 km/h
122,59.71795893314359,Track 2: inf km/h; Track 12: 59.72 km/h
123,59.52462733831791,Track 2: inf km/h; Track 12: 59.52 km/h
124,61.31622838434577,Track 2: inf km/h; Track 12: 61.32 km/h
125,63.8047502716417,Track 2: inf km/h; Track 12: 63.80 km/h
126,inf,Track 2: inf km/h
127,66.37899219985756,Track 2: inf km/h; Track 12: 66.38 km/h
128,65.79516598647275,Track 2: inf km/h; Track 12: 65.80 km/h
129,68.76340774799623,Track 2: inf km/h; Track 12: 68.76 km/h
130,70.67723804407656,Track 2: inf km/h; Track 12: 70.68 km/h
131,73.67159477677355,Track 12: 73.67 km/h
132,Not Detected,
133,Not Detected,
134,Not Detected,
135,Not Detected,
136,Not Detected,
137,Not Detected,
138,Not Detected,
139,Not Detected,
140,Not Detected,
141,Not Detected,
142,Not Detected,
143,inf,Track 2: inf km/h
144,Not Detected,
145,Not Detected,
146,Not Detected,
147,Not Detected,
148,Not Detected,
149,Not Detected,
150,Not Detected,
151,Not Detected,
152,Not Detected,
153,Not Detected,
154,Not Detected,
155,Not Detected,
156,Not Detected,
157,71.02346615127021,Track 14: 71.02 km/h
158,72.76440297180862,Track 14: 72.76 km/h
159,72.29964928759595,Track 14: 72.30 km/h
160,73.08752735777452,Track 14: 73.09 km/h
161,69.93771426743317,Track 14: 69.94 km/h
162,71.4001194031302,Track 14: 71.40 km/h
163,70.49092361786728,Track 14: 70.49 km/h
164,73.00213114932843,Track 14: 73.00 km/h
165,70.40269246588026,Track 14: 70.40 km/h
166,71.67811440712525,Track 14: 71.68 km/h; Track 15: inf km/h
167,71.92132786832951,Track 14: 71.92 km/h; Track 15: inf km/h
168,70.73928412388251,Track 14: 70.74 km/h
169,69.76004148989503,Track 14: 69.76 km/h
170,68.44118055171535,Track 14: 68.44 km/h
171,68.79107082886013,Track 14: 68.79 km/h
172,69.93081747983815,Track 14: 69.93 km/h
173,68.69395229589902,Track 14: 68.69 km/h
174,67.68999237966699,Track 14: 67.69 km/h
175,68.24326524978947,Track 14: 68.24 km/h
176,Not Detected,
177,Not Detected,
178,Not Detected,
179,Not Detected,
180,67.66819766763363,Track 16: 67.67 km/h
181,67.16944844709907,Track 16: 67.17 km/h
182,67.70284560293146,Track 16: 67.70 km/h
183,68.0817809079754,Track 16: 68.08 km/h
184,64.40785887728492,Track 16: 64.41 km/h
185,64.4376649640226,Track 16: 64.44 km/h
186,63.82224686060448,Track 16: 63.82 km/h
187,62.744804355682014,Track 16: 62.74 km/h
188,63.7954794116274,Track 16: 63.80 km/h
189,66.45348908023942,Track 16: 66.45 km/h
190,64.05162022705544,Track 16: 64.05 km/h
191,63.569963264832765,Track 16: 63.57 km/h
192,62.67349719759193,Track 16: 62.67 km/h
193,60.74826820448259,Track 16: 60.75 km/h
194,58.55188654491629,Track 16: 58.55 km/h
195,57.703350426042206,Track 16: 57.70 km/h
196,58.82958090827904,Track 16: 58.83 km/h
197,57.60156553048276,Track 16: 57.60 km/h
198,57.53142337273578,Track 16: 57.53 km/h
199,56.45741913850872,Track 16: 56.46 km/h
200,55.95249096436358,Track 16: 55.95 km/h
201,55.448785227479284,Track 16: 55.45 km/h
202,54.18468844079277,Track 16: 54.18 km/h
203,55.81905802474215,Track 16: 55.82 km/h
204,56.47400553158285,Track 16: 56.47 km/h
205,56.69516057751452,Track 16: 56.70 km/h
206,56.272934777533706,Track 16: 56.27 km/h
207,56.561041007598874,Track 16: 56.56 km/h
208,55.805930530045096,Track 16: 55.81 km/h
209,55.79693437584351,Track 16: 55.80 km/h
210,55.874499591404344,Track 16: 55.87 km/h
211,55.005105187424995,Track 16: 55.01 km/h
212,55.119532573251654,Track 16: 55.12 km/h
213,54.59264631111044,Track 16: 54.59 km/h
214,54.74972468894821,Track 16: 54.75 km/h
215,54.97718683033303,Track 16: 54.98 km/h
216,54.87976341619183,Track 16: 54.88 km/h
217,53.75405294494372,Track 16: 53.75 km/h
218,53.75960038717794,Track 16: 53.76 km/h
219,53.06499421313305,Track 16: 53.06 km/h
220,53.111113649276895,Track 16: 53.11 km/h
221,52.65167515363947,Track 16: 52.65 km/h
222,52.41248635187934,Track 16: 52.41 km/h
223,52.203530659154175,Track 16: 52.20 km/h
224,52.15486077014419,Track 16: 52.15 km/h
225,51.88854035446736,Track 16: 51.89 km/h
226,52.004832398282346,Track 16: 52.00 km/h
227,51.564420560823116,Track 16: 51.56 km/h
228,52.01733576621206,Track 16: 52.02 km/h
229,51.90294251672569,Track 16: 51.90 km/h
230,52.755048447695984,Track 16: 52.76 km/h
231,52.16425946776502,Track 16: 52.16 km/h
232,51.342043061629205,Track 16: 51.34 km/h
233,50.34216303364656,Track 16: 50.34 km/h
234,50.49733316461654,Track 16: 50.50 km/h
235,53.94239542257816,Track 16: 53.94 km/h
236,54.50739646627098,Track 16: 54.51 km/h
237,55.390752313852275,Track 16: 55.39 km/h
238,55.975084833078306,Track 16: 55.98 km/h
239,54.70063418172418,Track 16: 54.70 km/h
240,54.144715754546404,Track 16: 54.14 km/h; Track 18: 62.42 km/h
241,54.93615472702295,Track 16: 54.94 km/h; Track 18: 61.96 km/h
242,54.98565715416868,Track 16: 54.99 km/h; Track 18: 61.99 km/h
243,56.326922013853086,Track 16: 56.33 km/h; Track 18: 62.30 km/h
244,55.56577961531551,Track 16: 55.57 km/h; Track 18: 63.21 km/h
245,55.73076799198593,Track 16: 55.73 km/h; Track 18: 63.88 km/h
